	sentence_id	filename	token	label	attribute
0	0	1787_Brug_Wall	Merckenweerdigste	O	
1	0	1787_Brug_Wall	voorvallen	O	
2	0	1787_Brug_Wall	en	O	
3	0	1787_Brug_Wall	daegelijcksche	O	
4	0	1787_Brug_Wall	gevallen	O	
5	0	1787_Brug_Wall	.	O	
6	0	1787_Brug_Wall	Brugge	O	
7	0	1787_Brug_Wall	1787	O	
8	2	1787_Brug_Wall	Jozef	O	
9	2	1787_Brug_Wall	van	O	
10	2	1787_Brug_Wall	Walleghem	O	
11	4	1787_Brug_Wall	Editie	O	
12	4	1787_Brug_Wall	Chris	O	
13	4	1787_Brug_Wall	Scherpereel	O	
14	4	1787_Brug_Wall	,	O	
15	4	1787_Brug_Wall	Helena	O	
16	4	1787_Brug_Wall	Spiritus	O	
17	4	1787_Brug_Wall	,	O	
18	4	1787_Brug_Wall	Helena	O	
19	4	1787_Brug_Wall	Debou	O	
20	4	1787_Brug_Wall	en	O	
21	4	1787_Brug_Wall	Yvan	O	
22	4	1787_Brug_Wall	vanden	O	
23	4	1787_Brug_Wall	Berghe	O	
24	19	1787_Brug_Wall	bron	O	
25	20	1787_Brug_Wall	(	O	
26	20	1787_Brug_Wall	eds	O	
27	20	1787_Brug_Wall	.	O	
28	20	1787_Brug_Wall	Chris	O	
29	20	1787_Brug_Wall	Scherpereel	O	
30	20	1787_Brug_Wall	,	O	
31	20	1787_Brug_Wall	Helena	O	
32	20	1787_Brug_Wall	Spiritus	O	
33	20	1787_Brug_Wall	,	O	
34	20	1787_Brug_Wall	Helena	O	
35	20	1787_Brug_Wall	Debou	O	
36	20	1787_Brug_Wall	en	O	
37	20	1787_Brug_Wall	Yvan	O	
38	20	1787_Brug_Wall	vanden	O	
39	20	1787_Brug_Wall	Berghe	O	
40	20	1787_Brug_Wall	)	O	
41	20	1787_Brug_Wall	.	O	
42	20	1787_Brug_Wall	Gemeentebestuur	O	
43	20	1787_Brug_Wall	,	O	
44	20	1787_Brug_Wall	Brugge	O	
45	20	1787_Brug_Wall	1982	O	
46	23	1787_Brug_Wall	Zie	O	
47	23	1787_Brug_Wall	voor	O	
48	23	1787_Brug_Wall	verantwoording	O	
49	23	1787_Brug_Wall	:	O	
50	23	1787_Brug_Wall	http	O	
51	23	1787_Brug_Wall	:	O	
52	23	1787_Brug_Wall	//www.dbnl.org/tekst/wall076merc01_01/colofon.php	O	
53	27	1787_Brug_Wall	©	O	
54	27	1787_Brug_Wall	2015	O	
55	27	1787_Brug_Wall	dbnl	O	
56	27	1787_Brug_Wall	/	O	
57	27	1787_Brug_Wall	Chris	O	
58	27	1787_Brug_Wall	Scherpereel	O	
59	27	1787_Brug_Wall	/	O	
60	27	1787_Brug_Wall	Helena	O	
61	27	1787_Brug_Wall	Spiritus	O	
62	27	1787_Brug_Wall	/	O	
63	27	1787_Brug_Wall	Helena	O	
64	27	1787_Brug_Wall	Debou	O	
65	27	1787_Brug_Wall	/	O	
66	27	1787_Brug_Wall	Yvan	O	
67	27	1787_Brug_Wall	vanden	O	
68	27	1787_Brug_Wall	Berghe	O	
69	32	1787_Brug_Wall	Merckenweerdigste	O	
70	32	1787_Brug_Wall	voorvallen	O	
71	32	1787_Brug_Wall	1787	O	
72	35	1787_Brug_Wall	Den	O	
73	35	1787_Brug_Wall	Leser	O	
74	35	1787_Brug_Wall	sIet	O	
75	35	1787_Brug_Wall	aLLe	O	
76	35	1787_Brug_Wall	het	O	
77	35	1787_Brug_Wall	VerVolg	O	
78	35	1787_Brug_Wall	hIer	O	
79	35	1787_Brug_Wall	kLaer	O	
80	35	1787_Brug_Wall	en	O	
81	35	1787_Brug_Wall	't	O	
82	35	1787_Brug_Wall	begIn	O	
